Performance Statistics   2017-03-31 06:36:00 - 2017-03-31 06:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$Asset.browse#init                                    0.0           0           0         0.0           1
ams$Asset.browse#inject                                  0.0           0           0         0.0           1
ams$Asset.browse#load                                   65.0          65          65         0.0           1
ams$Asset.browse#ready                                   0.0           0           0         0.0           1
ams$Asset.browse#uiPermissions                           0.0           0           0         0.0           1
ams$Asset.browse#xml                                     6.0           6           6         0.0           1
ams$Asset.browse@assetsDs                               70.0          70          70         0.0           1
ams$Asset.edit#init                                      0.0           0           0         0.0           1
ams$Asset.edit#inject                                    0.5           0           1         0.5           2
ams$Asset.edit#load                                     36.0          36          36         0.0           1
ams$Asset.edit#ready                                     0.0           0           0         0.0           1
ams$Asset.edit#setItem                                   0.0           0           0         0.0           1
ams$Asset.edit#uiPermissions                             0.0           0           0         0.0           1
ams$Asset.edit#xml                                       3.0           3           3         0.0           1
ams$Asset.edit.windowActions#load                        0.0           0           0         0.0           1
ams$NewAsset.browse#init                                 0.0           0           0         0.0           1
ams$NewAsset.browse#inject                               3.0           3           3         0.0           1
ams$NewAsset.browse#load                               881.0         881         881         0.0           1
ams$NewAsset.browse#ready                                0.0           0           0         0.0           1
ams$NewAsset.browse#uiPermissions                        0.0           0           0         0.0           1
ams$NewAsset.browse#xml                                 15.0          15          15         0.0           1
ams$NewAsset.browse@newAssetsDs                        734.0         734         734         0.0           1
ams$NewAsset.edit#init                                   0.0           0           0         0.0           1
ams$NewAsset.edit#inject                                 0.5           0           1         0.5           2
ams$NewAsset.edit#load                                 414.0         414         414         0.0           1
ams$NewAsset.edit#ready                                  0.0           0           0         0.0           1
ams$NewAsset.edit#setItem                               15.0          15          15         0.0           1
ams$NewAsset.edit#uiPermissions                          0.0           0           0         0.0           1
ams$NewAsset.edit#xml                                    4.0           4           4         0.0           1
ams$NewAsset.edit.windowActions#load                     5.0           5           5         0.0           1
loginWindow#init                                        94.0          94          94         0.0           1
loginWindow#inject                                      47.0          47          47         0.0           1
loginWindow#load                                       400.0         400         400         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         21.0          21          21         0.0           1
mainWindow#init                                         62.0          62          62         0.0           1
mainWindow#inject                                        6.0           6           6         0.0           1
mainWindow#load                                        325.0         325         325         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                          15.0          15          15         0.0           1
windowActions#xml                                        2.0           2           2         0.0           2

Performance Statistics   2017-03-31 06:38:00 - 2017-03-31 06:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$Suplier.browse#init                                  0.0           0           0         0.0           2
ams$Suplier.browse#inject                                0.0           0           0         0.0           2
ams$Suplier.browse#load                                 48.5          28          69        20.5           2
ams$Suplier.browse#ready                                 0.0           0           0         0.0           2
ams$Suplier.browse#uiPermissions                         0.0           0           0         0.0           2
ams$Suplier.browse#xml                                   3.5           0           7         3.5           2
ams$Suplier.browse@supliersDs                          140.5          28         253       112.5           2
ams$Suplier.edit#init                                    0.0           0           0         0.0           2
ams$Suplier.edit#inject                                  0.5           0           2         0.9           4
ams$Suplier.edit#load                                   27.0          16          38        11.0           2
ams$Suplier.edit#ready                                   0.0           0           0         0.0           2
ams$Suplier.edit#setItem                                38.0           0          76        38.0           2
ams$Suplier.edit#uiPermissions                           0.0           0           0         0.0           2
ams$Suplier.edit#xml                                     1.5           0           3         1.5           2
ams$Suplier.edit.windowActions#load                      0.0           0           0         0.0           2
windowActions#xml                                        0.5           0           1         0.5           2

Performance Statistics   2017-03-31 06:40:00 - 2017-03-31 06:42:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$NewAsset.browse#init                                 0.0           0           0         0.0           1
ams$NewAsset.browse#inject                               0.0           0           0         0.0           1
ams$NewAsset.browse#load                                50.0          50          50         0.0           1
ams$NewAsset.browse#ready                                0.0           0           0         0.0           1
ams$NewAsset.browse#uiPermissions                        0.0           0           0         0.0           1
ams$NewAsset.browse#xml                                  0.0           0           0         0.0           1
ams$NewAsset.browse@newAssetsDs                        121.0         121         121         0.0           1
ams$RequestAsset.browse#init                             1.0           1           1         0.0           1
ams$RequestAsset.browse#inject                          23.0          23          23         0.0           1
ams$RequestAsset.browse#load                           264.0         264         264         0.0           1
ams$RequestAsset.browse#ready                            0.0           0           0         0.0           1
ams$RequestAsset.browse#uiPermissions                    0.0           0           0         0.0           1
ams$RequestAsset.browse#xml                             14.0          14          14         0.0           1
ams$RequestAsset.browse@assetsDs                        30.0          30          30         0.0           1
ams$RequestAsset.browse@instancesDs                     36.0          36          36         0.0           1
ams$RequestAsset.browse@newAssetsDs                     57.0          50          64         7.0           2

Performance Statistics   2017-03-31 06:42:00 - 2017-03-31 06:44:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-03-31 06:46:00 - 2017-03-31 06:48:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$RequestAsset.browse#init                             2.0           2           2         0.0           1
ams$RequestAsset.browse#inject                           9.0           9           9         0.0           1
ams$RequestAsset.browse#load                           836.0         836         836         0.0           1
ams$RequestAsset.browse#ready                            0.0           0           0         0.0           1
ams$RequestAsset.browse#uiPermissions                    0.0           0           0         0.0           1
ams$RequestAsset.browse#xml                             20.0          20          20         0.0           1
ams$RequestAsset.browse@assetsDs                       732.0         732         732         0.0           1
ams$RequestAsset.browse@instancesDs                     61.0          61          61         0.0           1
ams$RequestAsset.browse@newAssetsDs                     90.0          68         112        22.0           2
loginWindow#init                                        21.0          21          21         0.0           1
loginWindow#inject                                      14.0          14          14         0.0           1
loginWindow#load                                       386.0         386         386         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         16.0          16          16         0.0           1
mainWindow#init                                         49.0          49          49         0.0           1
mainWindow#inject                                        3.0           3           3         0.0           1
mainWindow#load                                        323.0         323         323         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                          10.0          10          10         0.0           1

Performance Statistics   2017-03-31 06:48:00 - 2017-03-31 06:50:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-03-31 06:50:00 - 2017-03-31 06:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-03-31 06:54:00 - 2017-03-31 06:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$RequestAsset.browse#init                             1.0           1           1         0.0           1
ams$RequestAsset.browse#inject                          11.0          11          11         0.0           1
ams$RequestAsset.browse#load                           957.0         957         957         0.0           1
ams$RequestAsset.browse#ready                            0.0           0           0         0.0           1
ams$RequestAsset.browse#uiPermissions                    0.0           0           0         0.0           1
ams$RequestAsset.browse#xml                             12.0          12          12         0.0           1
ams$RequestAsset.browse@assetsDs                       729.0         729         729         0.0           1
ams$RequestAsset.browse@instancesDs                     36.0          36          36         0.0           1
ams$RequestAsset.browse@newAssetsDs                     77.5          60          95        17.5           2
loginWindow#init                                        23.0          23          23         0.0           1
loginWindow#inject                                      24.0          24          24         0.0           1
loginWindow#load                                       498.0         498         498         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         20.0          20          20         0.0           1
mainWindow#init                                         68.0          68          68         0.0           1
mainWindow#inject                                        8.0           8           8         0.0           1
mainWindow#load                                        311.0         311         311         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           3.0           3           3         0.0           1

Performance Statistics   2017-03-31 06:56:00 - 2017-03-31 06:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$RequestAsset.browse#init                             5.0           5           5         0.0           1
ams$RequestAsset.browse#inject                          44.0          44          44         0.0           1
ams$RequestAsset.browse#load                           968.0         968         968         0.0           1
ams$RequestAsset.browse#ready                            0.0           0           0         0.0           1
ams$RequestAsset.browse#uiPermissions                    0.0           0           0         0.0           1
ams$RequestAsset.browse#xml                             11.0          11          11         0.0           1
ams$RequestAsset.browse@assetsDs                       708.0         708         708         0.0           1
ams$RequestAsset.browse@instancesDs                     37.0          37          37         0.0           1
ams$RequestAsset.browse@newAssetsDs                     89.0          66         112        23.0           2
loginWindow#init                                        20.0          20          20         0.0           1
loginWindow#inject                                      16.0          16          16         0.0           1
loginWindow#load                                       372.0         372         372         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         20.0          20          20         0.0           1
mainWindow#init                                         71.0          71          71         0.0           1
mainWindow#inject                                        8.0           8           8         0.0           1
mainWindow#load                                        280.0         280         280         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           6.0           6           6         0.0           1

Performance Statistics   2017-03-31 06:58:00 - 2017-03-31 07:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-03-31 07:00:00 - 2017-03-31 07:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-03-31 07:02:00 - 2017-03-31 07:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-03-31 07:06:00 - 2017-03-31 07:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$RequestAsset.browse#xml                             22.0          22          22         0.0           1
loginWindow#init                                        18.0          18          18         0.0           1
loginWindow#inject                                      15.0          15          15         0.0           1
loginWindow#load                                       390.0         390         390         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         21.0          21          21         0.0           1
mainWindow#init                                         61.0          61          61         0.0           1
mainWindow#inject                                        6.0           6           6         0.0           1
mainWindow#load                                        302.0         302         302         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                          12.0          12          12         0.0           1

Performance Statistics   2017-03-31 07:08:00 - 2017-03-31 07:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$RequestAsset.browse#init                             2.0           2           2         0.0           1
ams$RequestAsset.browse#inject                          22.0          22          22         0.0           1
ams$RequestAsset.browse#load                          1058.0        1058        1058         0.0           1
ams$RequestAsset.browse#ready                            0.0           0           0         0.0           1
ams$RequestAsset.browse#uiPermissions                    0.0           0           0         0.0           1
ams$RequestAsset.browse#xml                             12.0          12          12         0.0           1
ams$RequestAsset.browse@instancesDs                    613.0         613         613         0.0           1
ams$RequestAsset.browse@newAssetDs                     110.0         110         110         0.0           1
loginWindow#init                                        25.0          25          25         0.0           1
loginWindow#inject                                      16.0          16          16         0.0           1
loginWindow#load                                       469.0         469         469         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         21.0          21          21         0.0           1
mainWindow#init                                         73.0          73          73         0.0           1
mainWindow#inject                                        7.0           7           7         0.0           1
mainWindow#load                                        356.0         356         356         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           4.0           4           4         0.0           1

Performance Statistics   2017-03-31 07:14:00 - 2017-03-31 07:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$RequestAsset.browse#init                             1.0           1           1         0.0           1
ams$RequestAsset.browse#inject                           6.0           6           6         0.0           1
ams$RequestAsset.browse#load                           375.0         375         375         0.0           1
ams$RequestAsset.browse#ready                            0.0           0           0         0.0           1
ams$RequestAsset.browse#uiPermissions                    0.0           0           0         0.0           1
ams$RequestAsset.browse#xml                              6.0           6           6         0.0           1
ams$RequestAsset.browse@assetsDs                       142.0         142         142         0.0           1
ams$RequestAsset.browse@instancesDs                    154.0         154         154         0.0           1
ams$RequestAsset.browse@newAssetDs                      81.7          47         127        33.5           3
ams$Responce_Request.browse#init                         0.0           0           0         0.0           1
ams$Responce_Request.browse#inject                      12.0          12          12         0.0           1
ams$Responce_Request.browse#load                       882.0         882         882         0.0           1
ams$Responce_Request.browse#ready                        0.0           0           0         0.0           1
ams$Responce_Request.browse#uiPermissions                0.0           0           0         0.0           1
ams$Responce_Request.browse#xml                         16.0          16          16         0.0           1
ams$Responce_Request.browse@instancesDs                479.0         479         479         0.0           1
loginWindow#init                                        16.0          16          16         0.0           1
loginWindow#inject                                      18.0          18          18         0.0           1
loginWindow#load                                       406.0         406         406         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         39.0          39          39         0.0           1
mainWindow#init                                         77.0          77          77         0.0           1
mainWindow#inject                                        8.0           8           8         0.0           1
mainWindow#load                                        313.0         313         313         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                          12.0          12          12         0.0           1

Performance Statistics   2017-03-31 07:16:00 - 2017-03-31 07:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-03-31 07:20:00 - 2017-03-31 07:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$RequestAsset.browse#init                             1.0           1           1         0.0           1
ams$RequestAsset.browse#inject                          11.0          11          11         0.0           1
ams$RequestAsset.browse#load                           803.0         803         803         0.0           1
ams$RequestAsset.browse#ready                            0.0           0           0         0.0           1
ams$RequestAsset.browse#uiPermissions                    0.0           0           0         0.0           1
ams$RequestAsset.browse#xml                             11.0          11          11         0.0           1
ams$RequestAsset.browse@assetsDs                       825.0         825         825         0.0           1
ams$RequestAsset.browse@instancesDs                     45.0          45          45         0.0           1
ams$RequestAsset.browse@newAssetDs                     165.5          64         267       101.5           2
loginWindow#init                                        26.0          26          26         0.0           1
loginWindow#inject                                      29.0          29          29         0.0           1
loginWindow#load                                       386.0         386         386         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         17.0          17          17         0.0           1
mainWindow#init                                         60.0          60          60         0.0           1
mainWindow#inject                                       15.0          15          15         0.0           1
mainWindow#load                                        290.0         290         290         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           4.0           4           4         0.0           1

Performance Statistics   2017-03-31 07:22:00 - 2017-03-31 07:24:00
