Performance Statistics   2017-03-30 22:06:00 - 2017-03-30 22:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$NewAsset.browse#init                                 0.0           0           0         0.0           1
ams$NewAsset.browse#inject                               2.0           2           2         0.0           1
ams$NewAsset.browse#load                               905.0         905         905         0.0           1
ams$NewAsset.browse#ready                                0.0           0           0         0.0           1
ams$NewAsset.browse#uiPermissions                        0.0           0           0         0.0           1
ams$NewAsset.browse#xml                                 31.0          31          31         0.0           1
ams$NewAsset.browse@newAssetsDs                        572.0         572         572         0.0           1
ams$NewAsset.edit#init                                   0.0           0           0         0.0           1
ams$NewAsset.edit#inject                                 0.5           0           1         0.5           2
ams$NewAsset.edit#load                                 287.0         287         287         0.0           1
ams$NewAsset.edit#ready                                  0.0           0           0         0.0           1
ams$NewAsset.edit#setItem                               24.0          24          24         0.0           1
ams$NewAsset.edit#uiPermissions                          0.0           0           0         0.0           1
ams$NewAsset.edit#xml                                    3.0           3           3         0.0           1
ams$NewAsset.edit.windowActions#load                     6.0           6           6         0.0           1
loginWindow#init                                        21.0          21          21         0.0           1
loginWindow#inject                                      16.0          16          16         0.0           1
loginWindow#load                                       354.0         354         354         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         17.0          17          17         0.0           1
mainWindow#init                                         51.0          51          51         0.0           1
mainWindow#inject                                        4.0           4           4         0.0           1
mainWindow#load                                        300.0         300         300         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           6.0           6           6         0.0           1
windowActions#xml                                        2.0           2           2         0.0           1

Performance Statistics   2017-03-30 22:08:00 - 2017-03-30 22:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$NewAsset.browse#init                                 0.0           0           0         0.0           1
ams$NewAsset.browse#inject                               3.0           3           3         0.0           1
ams$NewAsset.browse#load                               780.0         780         780         0.0           1
ams$NewAsset.browse#ready                                0.0           0           0         0.0           1
ams$NewAsset.browse#uiPermissions                        0.0           0           0         0.0           1
ams$NewAsset.browse#xml                                 11.0          11          11         0.0           1
ams$NewAsset.browse@newAssetsDs                        512.0         512         512         0.0           1
ams$NewAsset.edit#init                                   0.0           0           0         0.0           1
ams$NewAsset.edit#inject                                 0.5           0           1         0.5           2
ams$NewAsset.edit#load                                 253.0         253         253         0.0           1
ams$NewAsset.edit#ready                                  0.0           0           0         0.0           1
ams$NewAsset.edit#setItem                               13.0          13          13         0.0           1
ams$NewAsset.edit#uiPermissions                          0.0           0           0         0.0           1
ams$NewAsset.edit#xml                                    8.0           8           8         0.0           1
ams$NewAsset.edit.windowActions#load                     7.0           7           7         0.0           1
loginWindow#init                                        20.0          20          20         0.0           1
loginWindow#inject                                      26.0          26          26         0.0           1
loginWindow#load                                       361.0         361         361         0.0           1
loginWindow#ready                                        0.0           0           0         0.0           1
loginWindow#uiPermissions                                0.0           0           0         0.0           1
loginWindow#xml                                         14.0          14          14         0.0           1
mainWindow#init                                         71.0          71          71         0.0           1
mainWindow#inject                                        7.0           7           7         0.0           1
mainWindow#load                                        287.0         287         287         0.0           1
mainWindow#ready                                         0.0           0           0         0.0           1
mainWindow#uiPermissions                                 0.0           0           0         0.0           1
mainWindow#xml                                           5.0           5           5         0.0           1
windowActions#xml                                        2.0           2           2         0.0           1

Performance Statistics   2017-03-30 22:10:00 - 2017-03-30 22:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
ams$Asset.browse#init                                    0.0           0           0         0.0           1
ams$Asset.browse#inject                                 11.0          11          11         0.0           1
ams$Asset.browse#load                                   60.0          60          60         0.0           1
ams$Asset.browse#ready                                   0.0           0           0         0.0           1
ams$Asset.browse#uiPermissions                           0.0           0           0         0.0           1
ams$Asset.browse#xml                                     6.0           6           6         0.0           1
ams$Asset.browse@assetsDs                               32.0          32          32         0.0           1
ams$Asset.edit#init                                      0.0           0           0         0.0           1
ams$Asset.edit#inject                                    0.5           0           1         0.5           2
